OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea plants and what are 
OK   | seed=0 | style=paraphrase_farmer_style | crop=Pea | q=khet mein mool roga kyun hota hai aur uska kya upaay hai?
OK   | seed=0 | style=paraphrase_short | crop=Pea | q=How to manage pea root diseases?
OK   | seed=0 | style=paraphrase_problem_description | crop=Pea | q=My pea plants are showing yellowing leaves and are not growing properl
OK   | seed=0 | style=paraphrase_followup | crop=Pea | q=You mentioned treating the seed with Pseudomonas fluorescens — what is
OK   | seed=0 | style=paraphrase_yes_no | crop=Pea | q=Can root diseases significantly affect pea cultivation and cause yield
OK   | seed=0 | style=paraphrase_preventive | crop=Pea | q=How can I prevent root diseases in peas before sowing?
OK   | seed=0 | style=paraphrase_comparison | crop=Pea | q=What is the difference between Fusarium oxysporum and Rhizoctonia sola
OK   | seed=0 | style=paraphrase_cause | crop=Pea | q=What causes root diseases in peas and how do they affect the plants?
OK   | seed=0 | style=paraphrase_quantity_focused | crop=Pea | q=What is the recommended dosage of Pseudomonas fluorescens per kg of se
OK   | seed=0 | style=paraphrase_timing_focused | crop=Pea | q=At what stage of pea growth should I apply seed treatment with Pseudom
OK   | seed=0 | style=paraphrase_regional_hindi | crop=Pea | q=Matar ki phal me gale ki bimari ho rahi hai, iska kya ilaj hai?
OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea crops and what are t
OK   | seed=0 | style=paraphrase_farmer_style | crop=Pea | q=khet me mool ki bimari kyun hoti hai aur unse kaise bacha jaye?
OK   | seed=0 | style=paraphrase_short | crop=Pea | q=How to manage root diseases in peas?
OK   | seed=0 | style=paraphrase_problem_description | crop=Pea | q=My pea plants are showing yellowing of lower leaves and stunted growth
OK   | seed=0 | style=paraphrase_followup | crop=Pea | q=You mentioned treating seeds with Pseudomonas fluorescens — what is th
OK   | seed=0 | style=paraphrase_yes_no | crop=Pea | q=Can root diseases significantly affect pea cultivation?
OK   | seed=0 | style=paraphrase_preventive | crop=Pea | q=How can I prevent root diseases in peas before sowing?
OK   | seed=0 | style=paraphrase_comparison | crop=Pea | q=What is the difference between Fusarium oxysporum and Rhizoctonia sola
OK   | seed=0 | style=paraphrase_cause | crop=Pea | q=What causes root diseases in peas and how do these diseases affect the
OK   | seed=0 | style=paraphrase_quantity_focused | crop=Pea | q=What is the recommended dosage of Pseudomonas fluorescens for seed tre
OK   | seed=0 | style=paraphrase_timing_focused | crop=Pea | q=When should I treat pea seeds with Pseudomonas fluorescens to manage r
