generated_id,style,source_answer_id,source_question_id,crop,state,district,season,domain,generated_question,generated_answer,seed_question,timestamp
si_v2_paraph_69b4f872_1,paraphrase_formal,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What are the common root diseases that affect pea plants and what are the recommended strategies for their management?,"Root diseases in pea plants are among the most significant challenges in pea cultivation, leading to substantial yield losses and plant mortality. The primary root diseases include root rot, which is caused by the soil-borne fungal pathogens Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, impairing the plant's ability to absorb water and nutrients, which results in stunted growth, wilting, and eventual plant death.

Disease Description and Symptoms:
- Above-ground symptoms include yellowing of lower leaves (chlorosis), stunted growth, wilting during hot periods despite sufficient soil moisture, and premature death.
- Below-ground symptoms include darkened, water-soaked roots that turn brown to black, root decay, reduced root mass, and the absence of healthy white root tips.
- In the case of Fusarium root rot, a reddish-brown discoloration of the vascular tissue extending into the stem base is observed.
- Seedling damping-off may occur in severe infections, where young plants collapse shortly after emergence.

Factors Contributing to Disease Severity:
- Poor drainage
- Heavy clay soils
- Continuous pea cropping
- Soil temperatures between 15-28°C with high moisture levels

Integrated Disease Management Strategies:
1. Implement a crop rotation of at least 3-4 years with non-leguminous crops such as cereals, brassicas, or onions to reduce soil-borne pathogen populations.
2. Select well-drained fields with good soil structure and avoid low-lying areas prone to waterlogging.
3. Improve soil drainage through proper land preparation, including raised bed cultivation.
4. Use certified disease-free seeds from reliable sources and treat seeds before sowing.
5. Practice deep summer plowing to expose soil pathogens to solar heat and desiccation.
6. Maintain optimal plant spacing to ensure good air circulation and reduce humidity around the root zone.
7. Remove and destroy infected plant debris immediately to prevent the spread of pathogens.
8. Avoid excessive irrigation and use drip or furrow irrigation instead of flood irrigation.
9. Incorporate well-decomposed organic matter to enhance soil health and promote beneficial microbial populations.
10. Adjust sowing dates to avoid periods of high soil moisture and temperature that favor pathogen development.
11. Treat seeds with 15 g of a talc-based formulation of Pseudomonas fluorescens per kg of seed before sowing.

For further assistance, farmers are advised to consult the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:21.066416
si_v2_paraph_69b4f872_2,paraphrase_farmer_style,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,khet mein mool roga kyun hota hai aur uska kya upaay hai?,"mool roga khet me aata hai jisse fasal ka nasha ho jata hai. iska sabse badla karan mool me dawa ho jana hai. iske upaay me khet me 3-4 saal tak doosre khet ke badan jaise chawal, sarson, ya pyaz lagane chahiye. khet me pani ka chakkar na rakhna chahiye aur achha pani chalana chahiye. bije ko achha chuna jaye aur unhe dawa ke saath lagaye jaye. khet me adhik jaga rakhna chahiye taki pani chal sake. bimari wale badan ko hata ke kharaab kar dena chahiye. bije ko 15 g Pseudomonas fluorescens ke saath dawa kare.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:22.947158
si_v2_paraph_69b4f872_3,paraphrase_short,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How to manage pea root diseases?,"Use crop rotation with non-leguminous crops for 3-4 years. Plant in well-drained soil, treat seeds with Pseudomonas fluorescens, and avoid over-irrigation. Remove infected plants and improve soil health with organic matter.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:24.078847
si_v2_paraph_69b4f872_4,paraphrase_problem_description,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,My pea plants are showing yellowing leaves and are not growing properly. Some of them are wilting even though the soil is moist. What could be wrong and how can I fix it?,"The symptoms you are observing suggest root diseases in peas, which are caused by soil-borne fungi like Fusarium oxysporum and Rhizoctonia solani. These pathogens damage the root system, leading to poor water and nutrient uptake. To manage this, implement a crop rotation of at least 3-4 years with non-leguminous crops, choose well-drained fields, improve soil drainage with raised beds, use certified disease-free seeds, and treat seeds with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed. Avoid excessive irrigation, maintain proper plant spacing, remove infected plant debris, and consider deep summer plowing to reduce pathogen populations. For further help, contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:25.911438
si_v2_paraph_69b4f872_5,paraphrase_followup,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,You mentioned treating the seed with Pseudomonas fluorescens — what is the recommended quantity per kg of seed?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:26.947952
si_v2_paraph_69b4f872_6,paraphrase_yes_no,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Can root diseases significantly affect pea cultivation and cause yield losses?,"Yes, root diseases in peas are among the most destructive problems affecting pea cultivation, causing significant yield losses and plant mortality.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:27.889547
si_v2_paraph_69b4f872_7,paraphrase_preventive,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How can I prevent root diseases in peas before sowing?,"To prevent root diseases in peas, implement a crop rotation of at least 3-4 years with non-leguminous crops such as cereals, brassicas, or onions. Select well-drained fields and avoid low-lying areas prone to waterlogging. Improve soil drainage through raised bed cultivation. Use certified disease-free seeds and treat them with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing. Practice deep summer plowing to expose soil pathogens to solar heat. Maintain optimal plant spacing for good air circulation. Remove and destroy infected plant debris. Avoid excessive irrigation and use drip or furrow irrigation. Incorporate well-decomposed organic matter to improve soil health. Adjust sowing dates to avoid periods of high soil moisture and temperature favorable for pathogens.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:29.536974
si_v2_paraph_69b4f872_8,paraphrase_comparison,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the difference between Fusarium oxysporum and Rhizoctonia solani in causing root rot in peas?,"Fusarium oxysporum and Rhizoctonia solani are both soil-borne fungal pathogens that cause root rot in peas. Fusarium root rot is characterized by reddish-brown discoloration of the vascular tissue extending into the stem base, while Rhizoctonia solani causes darkened, water-soaked roots that turn brown to black, with root decay and rot. Both pathogens compromise the plant's ability to absorb water and nutrients, leading to stunted growth, wilting, and plant death.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:31.047728
si_v2_paraph_69b4f872_9,paraphrase_cause,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What causes root diseases in peas and how do they affect the plants?,"Root diseases in peas are caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, compromising the plant's ability to absorb water and nutrients, ultimately leading to stunted growth, wilting, and plant death. The diseases manifest through darkened, water-soaked roots that turn brown to black, root decay and rot, reduced root mass, and absence of healthy white root tips. In cases of Fusarium root rot, a reddish-brown discoloration of the vascular tissue extending into the stem base is observed. The severity of root diseases increases under conditions of poor drainage, heavy clay soils, continuous pea cropping, and soil temperatures between 15-28°C with high moisture levels.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:32.686979
si_v2_paraph_69b4f872_10,paraphrase_quantity_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the recommended dosage of Pseudomonas fluorescens per kg of seed for managing root diseases in peas?,The seed should be treated with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:33.733425
