OK   | seed=0 | style=paraphrase_formal | call=1 | focus=unknown | q=Can the infestation of termites (deemak/geda) in wheat crops
OK   | seed=0 | style=paraphrase_formal | call=2 | focus=unknown | q=Should the management of termite infestation in wheat crops 
OK   | seed=0 | style=paraphrase_formal | call=3 | focus=unknown | q=What is the integrated management strategy for termite infes
OK   | seed=0 | style=paraphrase_formal | call=4 | focus=unknown | q=Is there a recommended approach for managing termite infesta
OK   | seed=0 | style=paraphrase_formal | call=5 | focus=unknown | q=Does termite infestation affect wheat crops in Uttar Pradesh
OK   | seed=0 | style=paraphrase_short | call=1 | focus=unknown | q=Can termite infestation in wheat be controlled?
OK   | seed=0 | style=paraphrase_short | call=2 | focus=unknown | q=Should termite infestation in wheat be treated with Chlorpyr
OK   | seed=0 | style=paraphrase_short | call=3 | focus=seed_treatment | q=What is the seed treatment for termite in wheat?
OK   | seed=0 | style=paraphrase_short | call=4 | focus=unknown | q=Is termite infestation in wheat manageable?
OK   | seed=0 | style=paraphrase_short | call=5 | focus=unknown | q=Does Chlorpyrifos 20% EC control termites in wheat?
OK   | seed=0 | style=paraphrase_problem_description | call=1 | focus=unknown | q=Can the plants in my field be pulled out easily, and some ar
OK   | seed=0 | style=paraphrase_problem_description | call=2 | focus=unknown | q=Should I be worried about patches of dry plants in my wheat 
OK   | seed=0 | style=paraphrase_problem_description | call=3 | focus=symptom_detail | q=What is the solution for dry patches appearing in wheat fiel
OK   | seed=0 | style=paraphrase_problem_description | call=4 | focus=symptom_detail | q=Is the wheat crop showing signs of yellowing leaves and stun
OK   | seed=0 | style=paraphrase_problem_description | call=5 | focus=unknown | q=Does my wheat crop have yellow leaves and weak plants that p
OK   | seed=0 | style=paraphrase_followup | call=1 | focus=unknown | q=Can I use any other chemical for termite control apart from 
OK   | seed=0 | style=paraphrase_followup | call=2 | focus=irrigation_method | q=Should the application of Chlorpyrifos 20% EC be done with i
OK   | seed=0 | style=paraphrase_followup | call=3 | focus=seed_treatment | q=What is the recommended seed treatment for wheat to protect 
OK   | seed=0 | style=paraphrase_followup | call=4 | focus=unknown | q=Is it safe to use Chlorpyrifos 20% EC for termite control in
OK   | seed=0 | style=paraphrase_followup | call=5 | focus=unknown | q=Does Chlorpyrifos 20% EC work for termite control in wheat?
