generated_id,style,source_answer_id,source_question_id,crop,state,district,season,domain,generated_question,generated_answer,target_state,timestamp
si_par_69b4f872_0_1775473081,paraphrase,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,FAQ,Rabi,Disease,What are the typical root diseases affecting peas and what are the effective management strategies?,"Root diseases in peas represent a major challenge in cultivation, leading to significant yield losses and plant mortality. The primary root diseases affecting peas include Root rot (caused by Fusarium oxysporum and Rhizoctonia solani). These soil-borne fungal pathogens attack the root system, impairing the plant's ability to absorb water and nutrients, ultimately resulting in stunted growth, wilting, and plant death. Disease Description and Symptoms: Root diseases in peas typically present through a combination of above-ground and below-ground symptoms. Above-ground symptoms include yellowing of lower leaves (chlorosis), stunted plant growth, wilting during hot periods despite adequate soil moisture, and premature plant death. Below-ground examination reveals the most characteristic symptoms: darkened, water-soaked roots that turn brown to black, root decay and rot, reduced root mass, and absence of healthy white root tips. In cases of Fusarium root rot, a reddi",,2026-04-06T10:58:01.989026
si_par_69ab9f3b_0_1775473087,paraphrase,69ab9f3bc2b602929b3707e3,69ab9d5ec2b602929b3706d0,Maize Makka,Punjab,PATIALA,Kharif,Fertilizer and Nutrient,What is the recommended foliar spray composition of NPK 20:20:13 and magnesium Sulphate per acre for maize crop?,"There is no fertilizer named 20:20:13. However, farmer must have mistaken it with 20:20:0:13 fertilizer. 20:20:0:13 supplied nitrogen, phosphorus and sulphur. 100kg of this fertilizer is said to supply 20kg Nitrogen, 20kg phosphorus and 13kg sulphur to the field. This fertilizer is not said to supply potassium fertilizer.  NP(S) 20-20-13 should be applied to the soil considering important factors such as placement, proportion and time of crop cycle. It should be applied during sowing and through broadcasting. The dosage should be as per the crop and the soil (As per general recommendation for the State). It is advised not to use the NP(S) 20-20-0-13 with standing crops, application of NP(S) 20-20-0-13 through seed- cum fertilizer gives better outputs. There is no mention of its usage as foliar spray. However, since it is strictly advised to be applied as soil application, farmers are recommended not to use this fertilizer for foliar spray.  Magnesium sulphate fertilizer is suggested @",,2026-04-06T10:58:07.073432
si_par_69b3b36c_0_1775473092,paraphrase,69b3b36ce42ed6415b95d421,69b3b13ee42ed6415b95d34b,Berseem,Punjab,FAQ,Rabi,Pest,What are the control measures for Bihar hairy caterpillar and gram caterpillar in Berseem crop?,"Bihar hairy caterpillar and gram caterpillar are significant pests that can cause substantial damage to Berseem (Egyptian clover) crops, particularly during the vegetative growth stages. Understanding their biology and implementing integrated pest management strategies is crucial for effective control.   1. Bihar hairy caterpillar (Bhabu Kuta): It is polyphagous and sporadic pest. It attacks berseem crop twice in a season. - In September-October larvae devour the young crop to the ground level and the farmers have to resow it. Again, it feeds voraciously on plant foliage and causes severe losses in March-April.  Control: - Weeds like Gutpatna, Bathu, Jangli Palak and wild castor are the alternate host plants on which the pest feeds in gregarious phase and later on migrates to berseem. Destroy these weeds growing adjoining to berseem fields before its sowing.  2. Gram caterpillar (Helicoverpa armigera): The attacks of this pest is serious on seed crop. - Avoid raising of berseem seed cr",,2026-04-06T10:58:12.267297
si_par_698c01cf_0_1775473097,paraphrase,698c01cf6bca0c342047d01b,698bff986bca0c342047cf71,Cotton,Punjab,BHATINDA,Kharif,Cultural Practices,What is the proper method for boll opening (glooming) in cotton?,"Blooming and boll opening are both different stages of cotton crop. Blooming is flowering of cotton crop while boll opening is opening of the boll or bursting of boll of cotton crop.  Blooming: Blooming is flowering of the cotton crop. It has 2 types or stages of blooming- Early blooming and peak blooming stages. At early bloom, some cotton plants may not yet have started flowering, while others produce blooms at the first position on the first fruiting branch. As the remaining plants begin to flower, blooms progress upward along the main stem and outward along the fruiting branches, leading to an increase in the flowering rate.  The bloom rate rises rapidly and could increase geometrically if square retention were perfect and if there were no competition between or within plants. The rate reaches a maximum depending on the availability of essential resources such as moisture, light, carbohydrates, and mineral nutrients.  After reaching its peak, the flowering rate gradually declines a",,2026-04-06T10:58:17.534268
si_par_698c030f_0_1775473101,paraphrase,698c030f6bca0c342047d07c,698bff986bca0c342047cf40,Cotton,Punjab,MANSA,Kharif,Fertilizer and Nutrient,What is the suggested fertilizer application schedule for cotton field management in Punjab's Mansa district during the Kharif season?,"To ensure effective cotton (Kapas/Narma) farming in Punjab's Mansa district, proper field treatment and fertilizer management are essential for achieving good yields. Based on the soil type and crop requirements in your region, here's a detailed fertilizer application plan:    **Pre-Sowing Soil Treatment:**  Prior to sowing cotton, perform soil testing via your nearest Krishi Vigyan Kendra (KVK) to assess nutrient levels. Apply well-decomposed farmyard manure (FYM) at 8-10 tonnes per hectare during land preparation. This enhances soil structure, water retention, and supplies slow-release nutrients throughout the season.    **Basal Fertilizer Application (At Sowing):**  For cotton cultivation, the standard recommendation is 80-100 kg Nitrogen (N), 50-60 kg Phosphorus (Pâ‚‚Oâ‚…), and 30-40 kg Potash (Kâ‚‚O) per hectare. At the time of sowing, apply the complete dose of Phosphorus and Potash along with 25% of the Nitrogen requirement. This equates to approximately:  - Urea: 55-60 kg",,2026-04-06T10:58:21.829597
si_par_69b4f872_0_1775475648,paraphrase,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,FAQ,Rabi,Disease,What are the common root diseases in peas and how can they be effectively managed?,"Root diseases in peas are among the most destructive problems affecting pea cultivation, causing significant yield losses and plant mortality. The primary root diseases affecting peas include Root rot (caused by Fusarium oxysporum and Rhizoctonia solani). These soil-borne fungal pathogens attack the root system, compromising the plant's ability to absorb water and nutrients, ultimately leading to stunted growth, wilting, and plant death.   Disease Description and Symptoms: Root diseases in peas typically manifest through a combination of above-ground and below-ground symptoms. Above-ground symptoms include yellowing of lower leaves (chlorosis), stunted plant growth, wilting during hot periods despite adequate soil moisture, and premature plant death. Below-ground examination reveals the most characteristic symptoms: darkened, water-soaked roots that turn brown to black, root decay and rot, reduced root mass, and absence of healthy white root tips. In cases of Fusarium root rot, a reddi",,2026-04-06T11:40:48.879506
si_par_69b4f872_1_1775475654,paraphrase,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,FAQ,Rabi,Disease,What are the typical root diseases affecting peas and their management strategies?,"Root diseases in peas are among the most destructive problems affecting pea cultivation, causing significant yield losses and plant mortality. The primary root diseases affecting peas include Root rot (caused by Fusarium oxysporum and Rhizoctonia solani). These soil-borne fungal pathogens attack the root system, compromising the plant's ability to absorb water and nutrients, ultimately leading to stunted growth, wilting, and plant death.   Disease Description and Symptoms: Root diseases in peas typically manifest through a combination of above-ground and below-ground symptoms. Above-ground symptoms include yellowing of lower leaves (chlorosis), stunted plant growth, wilting during hot periods despite adequate soil moisture, and premature plant death. Below-ground examination reveals the most characteristic symptoms: darkened, water-soaked roots that turn brown to black, root decay and rot, reduced root mass, and absence of healthy white root tips. In cases of Fusarium root rot, a reddi",,2026-04-06T11:40:54.379366
si_par_69ab9f3b_0_1775475657,paraphrase,69ab9f3bc2b602929b3707e3,69ab9d5ec2b602929b3706d0,Maize Makka,Punjab,PATIALA,Kharif,Fertilizer and Nutrient,What is the recommended foliar spray composition of NPK 20:20:13 and magnesium Sulphate per acre for maize crop?,"There is no fertilizer named 20:20:13. However, farmer must have mistaken it with 20:20:0:13 fertilizer. 20:20:0:13 supplied nitrogen, phosphorus and sulphur. 100kg of this fertilizer is said to supply 20kg Nitrogen, 20kg phosphorus and 13kg sulphur to the field. This fertilizer is not said to supply potassium fertilizer.  NP(S) 20-20-13 should be applied to the soil considering important factors such as placement, proportion and time of crop cycle. It should be applied during sowing and through broadcasting. The dosage should be as per the crop and the soil (As per general recommendation for the State). It is advised not to use the NP(S) 20-20-0-13 with standing crops, application of NP(S) 20-20-0-13 through seed- cum fertilizer gives better outputs. There is no mention of its usage as foliar spray. However, since it is strictly advised to be applied as soil application, farmers are recommended not to use this fertilizer for foliar spray.  Magnesium sulphate fertilizer is suggested @",,2026-04-06T11:40:57.648889
si_par_69ab9f3b_1_1775475662,paraphrase,69ab9f3bc2b602929b3707e3,69ab9d5ec2b602929b3706d0,Maize Makka,Punjab,PATIALA,Kharif,Fertilizer and Nutrient,What is the recommended foliar spray composition of NPK 20:20:13 and magnesium Sulphate per acre for maize crop?,"There is no fertilizer named 20:20:13. However, farmer must have mistaken it with 20:20:0:13 fertilizer. 20:20:0:13 supplied nitrogen, phosphorus and sulphur. 100kg of this fertilizer is said to supply 20kg Nitrogen, 20kg phosphorus and 13kg sulphur to the field. This fertilizer is not said to supply potassium fertilizer.  NP(S) 20-20-13 should be applied to the soil considering important factors such as placement, proportion and time of crop cycle. It should be applied during sowing and through broadcasting. The dosage should be as per the crop and the soil (As per general recommendation for the State). It is advised not to use the NP(S) 20-20-0-13 with standing crops, application of NP(S) 20-20-0-13 through seed- cum fertilizer gives better outputs. There is no mention of its usage as foliar spray. However, since it is strictly advised to be applied as soil application, farmers are recommended not to use this fertilizer for foliar spray.  Magnesium sulphate fertilizer is suggested @",,2026-04-06T11:41:02.336115
si_par_69b3b36c_0_1775475666,paraphrase,69b3b36ce42ed6415b95d421,69b3b13ee42ed6415b95d34b,Berseem,Punjab,FAQ,Rabi,Pest,What control measures are recommended for Bihar hairy caterpillar and gram caterpillar in Berseem crop?,"Bihar hairy caterpillar and gram caterpillar are major pests that can lead to significant damage to Berseem (Egyptian clover) crops, especially during the vegetative growth stages. Comprehending their biology and adopting integrated pest management approaches is essential for effective control.   1. Bihar hairy caterpillar (Bhabu Kuta): It is polyphagous and sporadic pest. It attacks berseem crop twice in a season. - In September-October larvae consume the young crop to the ground level and the farmers have to resow it. Again, it feeds intensely on plant foliage and causes severe losses in March-April.  Control: - Weeds like Gutpatna, Bathu, Jangli Palak and wild castor are the alternate host plants on which the pest feeds in gregarious phase and later on migrates to berseem. Eliminate these weeds growing adjacent to berseem fields before its sowing.  2. Gram caterpillar (Helicoverpa armigera): The attacks of this pest is serious on seed crop. - Avoid raising of berseem seed cr",,2026-04-06T11:41:06.016191
si_par_69b3b36c_1_1775475671,paraphrase,69b3b36ce42ed6415b95d421,69b3b13ee42ed6415b95d34b,Berseem,Punjab,FAQ,Rabi,Pest,What are the control measures for Bihar hairy caterpillar and gram caterpillar in Berseem crop?,"Bihar hairy caterpillar and gram caterpillar are significant pests that can cause substantial damage to Berseem (Egyptian clover) crops, particularly during the vegetative growth stages. Understanding their biology and implementing integrated pest management strategies is crucial for effective control.   1. Bihar hairy caterpillar (Bhabu Kuta): It is polyphagous and sporadic pest. It attacks berseem crop twice in a season. - In September-October larvae devour the young crop to the ground level and the farmers have to resow it. Again, it feeds voraciously on plant foliage and causes severe losses in March-April.  Control: - Weeds like Gutpatna, Bathu, Jangli Palak and wild castor are the alternate host plants on which the pest feeds in gregarious phase and later on migrates to berseem. Destroy these weeds growing adjoining to berseem fields before its sowing.  2. Gram caterpillar (Helicoverpa armigera): The attacks of this pest is serious on seed crop. - Avoid raising of berseem seed cr",,2026-04-06T11:41:11.303815
si_par_698c01cf_0_1775475675,paraphrase,698c01cf6bca0c342047d01b,698bff986bca0c342047cf71,Cotton,Punjab,BHATINDA,Kharif,Cultural Practices,What is the correct procedure for boll opening (glooming) in cotton?,"Blooming and boll opening are both different stages of cotton crop. Blooming is flowering of cotton crop while boll opening is opening of the boll or bursting of boll of cotton crop.  Blooming: Blooming is flowering of the cotton crop. It has 2 types or stages of blooming- Early blooming and peak blooming stages. At early bloom, some cotton plants may not yet have started flowering, while others produce blooms at the first position on the first fruiting branch. As the remaining plants begin to flower, blooms progress upward along the main stem and outward along the fruiting branches, leading to an increase in the flowering rate.  The bloom rate rises rapidly and could increase geometrically if square retention were perfect and if there were no competition between or within plants. The rate reaches a maximum depending on the availability of essential resources such as moisture, light, carbohydrates, and mineral nutrients.  After reaching its peak, the flowering rate gradually declines a",,2026-04-06T11:41:15.540902
si_par_698c01cf_1_1775475680,paraphrase,698c01cf6bca0c342047d01b,698bff986bca0c342047cf71,Cotton,Punjab,BHATINDA,Kharif,Cultural Practices,What is the correct procedure for boll opening (glooming) in cotton?,"Blooming and boll opening are both different stages of cotton crop. Blooming is flowering of the cotton crop while boll opening is opening of the boll or bursting of boll of cotton crop. Blooming: Blooming is flowering of the cotton crop. It has 2 types or stages of blooming- Early blooming and peak blooming stages. At early bloom, some cotton plants may not yet have started flowering, while others produce blooms at the first position on the first fruiting branch. As the remaining plants begin to flower, blooms progress upward along the main stem and outward along the fruiting branches, leading to an increase in the flowering rate. The bloom rate rises rapidly and could increase geometrically if square retention were perfect and if there were no competition between or within plants. The rate reaches a maximum depending on the availability of essential resources such as moisture, light, carbohydrates, and mineral nutrients. After reaching its peak, the flowering rate gradually declines a",,2026-04-06T11:41:20.926745
si_par_698c030f_0_1775475684,paraphrase,698c030f6bca0c342047d07c,698bff986bca0c342047cf40,Cotton,Punjab,MANSA,Kharif,Fertilizer and Nutrient,What is the recommended fertilizer application schedule for cotton field management in Punjab's Mansa district during the Kharif season?,"For optimal cotton (Kapas/Narma) cultivation in Punjab's Mansa district, proper field treatment and fertilizer management are crucial for achieving good yields. Based on the soil type and crop requirements in your region, here's a comprehensive fertilizer application strategy:    **Pre-Sowing Soil Treatment:**  Before sowing cotton, conduct soil testing through your nearest Krishi Vigyan Kendra (KVK) to determine nutrient status. Apply well-decomposed farmyard manure (FYM) at 8-10 tonnes per hectare during land preparation. This improves soil structure, water retention, and provides slow-release nutrients throughout the season.    **Basal Fertilizer Application (At Sowing):**  For cotton cultivation, the general recommendation is 80-100 kg Nitrogen (N), 50-60 kg Phosphorus (Pâ‚‚Oâ‚…), and 30-40 kg Potash (Kâ‚‚O) per hectare. At the time of sowing, apply the full dose of Phosphorus and Potash along with 25% of the Nitrogen requirement. This translates to approximately:  - Urea: 55-60 kg",,2026-04-06T11:41:24.128680
si_par_698c030f_1_1775475689,paraphrase,698c030f6bca0c342047d07c,698bff986bca0c342047cf40,Cotton,Punjab,MANSA,Kharif,Fertilizer and Nutrient,What is the suggested fertilizer application schedule for cotton field management in Punjab's Mansa district during the Kharif season?,"For effective cotton (Kapas/Narma) farming in Punjab's Mansa district, proper field treatment and fertilizer management are essential for high yields. According to soil type and crop needs in your area, here's a detailed fertilizer application plan: **Pre-Sowing Soil Treatment:** Prior to planting cotton, perform soil testing via your local Krishi Vigyan Kendra (KVK) to assess nutrient levels. Apply well-rotted farmyard manure (FYM) at 8-10 tonnes per hectare during land preparation. This enhances soil structure, water retention, and supplies gradual nutrients throughout the season. **Basal Fertilizer Application (At Sowing):** For cotton, the standard recommendation is 80-100 kg Nitrogen (N), 50-60 kg Phosphorus (Pâ‚‚Oâ‚…), and 30-40 kg Potash (Kâ‚‚O) per hectare. At sowing, apply all Phosphorus and Potash along with 25% of the Nitrogen requirement. This equates to approximately: - Urea: 55-60 kg",,2026-04-06T11:41:29.043315
si_par_69589f7d_0_1775475692,paraphrase,69589f7d28ae67127339d4f5,6958996628ae67127339d47c,Paddy,Uttar Pradesh,CHANDAULI,Kharif,Nutrient Management,What is the role of mustard cake in paddy cultivation?,"Mustard cake (also known as mustard oil cake or Sarson ki Khali) is a valuable organic nutrient source for paddy cultivation. It provides multiple benefits, including nutrient enrichment, improvement of soil health, and natural pest-deterrent properties.  Soil Testing and Evaluation: Before applying mustard cake, it is advisable to conduct a soil test to understand the existing nutrient status of your field. This helps determine the appropriate quantity and its combination with other fertilizers. Farmers may contact their nearest soil testing laboratory or Krishi Vigyan Kendra for soil analysis services.  Organic Nutrient Benefits: Mustard cake is rich in nitrogen (4–6%), phosphorus (1–2%), and potassium (1–2%), along with beneficial micronutrients. It releases nutrients gradually, ensuring sustained availability to the crop throughout the growing season. The organic matter in mustard cake improves soil structure, water-holding capacity, and microbial activity, thereby creating a hea",,2026-04-06T11:41:32.635378
si_par_69589f7d_1_1775475697,paraphrase,69589f7d28ae67127339d4f5,6958996628ae67127339d47c,Paddy,Uttar Pradesh,CHANDAULI,Kharif,Nutrient Management,Information regarding the use of mustard cake in Paddy crop,"Mustard cake (also known as mustard oil cake or Sarson ki Khali) is a valuable organic nutrient source for paddy cultivation. It offers multiple benefits, including nutrient enrichment, soil health enhancement, and natural pest-repellent properties.  Soil Testing and Assessment: Before applying mustard cake, it is advisable to conduct a soil test to understand the existing nutrient status of your field. This helps determine the appropriate quantity and its combination with other fertilizers. Farmers may contact their nearest soil testing laboratory or Krishi Vigyan Kendra for soil analysis services.  Organic Nutrient Benefits: Mustard cake is rich in nitrogen (4–6%), phosphorus (1–2%), and potassium (1–2%), along with beneficial micronutrients. It releases nutrients gradually, ensuring sustained availability to the crop throughout the growing season. The organic matter in mustard cake improves soil structure, water-holding capacity, and microbial activity, thereby creating a hea",,2026-04-06T11:41:37.957655
