generated_id,style,source_answer_id,source_question_id,crop,state,district,season,domain,generated_question,generated_answer,generated_question_en,generated_answer_en,source,seed_question,style_call_number,timestamp
si_v3_paraph_69b4f872_1,paraphrase_formal,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,"Which root diseases commonly affect pea crops, and what are the recommended management practices for their control?","Root diseases in pea crops are among the most significant constraints in pea cultivation, resulting in substantial yield losses and plant mortality. The major root diseases affecting peas include root rot, caused by the soil-borne fungal pathogens Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, impairing the plant's ability to take up water and nutrients, which leads to stunted growth, wilting, and eventual plant death. The symptoms of root diseases in peas can be observed both above and below ground. Above-ground symptoms include chlorosis of lower leaves, stunted growth, wilting during hot periods, and early plant death. Below-ground symptoms include darkened, water-soaked roots, root decay, reduced root mass, and the absence of healthy white root tips. In cases of Fusarium root rot, a reddish-brown discoloration of the vascular tissue at the stem base is evident. Seedling damping-off can also occur in severe infections. The severity of these diseases is influenced by factors such as poor drainage, heavy clay soils, continuous pea cropping, and soil temperatures ranging from 15-28°C with high moisture levels. The integrated disease management strategies include: 1. Crop rotation with non-leguminous crops for a period of 3-4 years, such as cereals, brassicas, or onions, to reduce pathogen buildup in the soil. 2. Selection of well-drained fields with good soil structure, avoiding waterlogged areas. 3. Improved soil drainage through proper land preparation and the use of raised beds. 4. Use of certified disease-free seeds, with seed treatment using 15 g of Talc-based formulation of Pseudomonas fluorescens per kg of seed before sowing. 5. Deep summer plowing to expose soil pathogens to solar heat and desiccation. 6. Maintaining optimal plant spacing to improve air circulation and reduce root zone humidity. 7. Immediate removal and destruction of infected plant debris to prevent disease spread. 8. Avoiding excessive irrigation and using drip or furrow irrigation methods instead of flood irrigation. 9. Incorporation of well-decomposed organic matter to enhance soil health and beneficial microbial activity. 10. Adjusting sowing dates to avoid periods of high soil moisture and temperature that favor pathogen development.",,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:21.484279
si_v3_paraph_69b4f872_2,paraphrase_farmer_style,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Mera khet mee peas ke root bimari ho rahi hai. Kya kaise karein?,"Peas ke root bimari jo ki Fusarium oxysporum aur Rhizoctonia solani se hoti hai, khatedar khet me jyada hoti hai. Iski aam tareeqa aadhe me khareed ki seed ko pani me lekar 15 g Pseudomonas fluorescens per kg seed ka istemal karein. Khet me 3-4 saal tak doosri fasal jaise chawal, sarson, ya pyaj karein. Khet me chhota jaga rakhain aur utha hua khet khein. Seed ko pahle hi thik se chhane ka dhyan rakhein. Agar koi bimari hoti hai to uska khata khatam karein. Drip irrigation ka istemal karein aur jyada pani na de. Agar kuch aur samasya ho to k nearest KVK se puchhein.",,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:23.425371
si_v3_paraph_69b4f872_3,paraphrase_short,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How to manage pea root diseases?,Use crop rotation with non-leguminous crops for 3-4 years. Treat seeds with 15g Pseudomonas fluorescens per kg of seed.,,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:24.392466
si_v3_paraph_69b4f872_4,paraphrase_problem_description,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,"My pea plants are not growing well, and the roots look dark and soft — what is wrong?",It may be a root rot disease. Use certified disease-free seeds and treat them with Pseudomonas fluorescens. Practice crop rotation and avoid waterlogging by improving soil drainage.,,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:25.405730
si_v3_paraph_69b4f872_5,paraphrase_followup,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How much Pseudomonas fluorescens should be used per kg of seed for treating pea seeds?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:26.447819
si_v3_paraph_69b4f872_6,paraphrase_yes_no,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Is it recommended to use Pseudomonas fluorescens for seed treatment in pea cultivation?,"Yes, the seed should be treated with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.",,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:27.398088
si_v3_paraph_69b4f872_7,paraphrase_preventive,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How can the risk of root diseases in peas be minimized through proper seed treatment?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:28.307217
si_v3_paraph_69b4f872_8,paraphrase_comparison,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the difference between the management strategies for Root rot caused by Fusarium oxysporum and Rhizoctonia solani in peas?,"The management strategies for Root rot caused by both Fusarium oxysporum and Rhizoctonia solani in peas are similar and include crop rotation, use of certified seeds, proper drainage, and treatment of seeds with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed. The integrated disease management practices such as deep summer plowing, maintaining optimal plant spacing, and avoiding excessive irrigation are also recommended for both pathogens.",,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:29.724266
si_v3_paraph_69b4f872_9,paraphrase_cause,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What causes root rot in peas and how does it affect the plant's health?,"Root rot in peas is caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, compromising the plant's ability to absorb water and nutrients, ultimately leading to stunted growth, wilting, and plant death. The disease is exacerbated by poor drainage, heavy clay soils, continuous pea cropping, and soil temperatures between 15-28°C with high moisture levels.",,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:31.000394
si_v3_paraph_69b4f872_10,paraphrase_quantity_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the recommended dosage of Pseudomonas fluorescens for seed treatment in pea cultivation?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,,,qwen3_direct,What are the typical root diseases affecting peas and what are the effective management strategies?,1,2026-04-10T09:19:32.028644
